,title,glass,garnish,recipe,ingredients,raw_ingredients,cocktail_strength,sweet_t,sour_t,savory_t,bitter_t,cream_t,spicy_t,fruity_t
5234,The Lady in Red,17.75,Redcurrants,Muddle recurrants and shake all remaining ingredients with ice .,"[['5 cl', 'Havana Club 7yo rum'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['20 fresh', 'Redcurrants'], ['2 cl', 'Monin Vanilla Syrup'], ['3 drop', 'Fee Brothers Cherry bitters'], ['3 cl', 'Damson vodka liqueur']]","[['5 cl', 'amber rum'], ['2 cl', 'lemon juice'], ['20 fresh', 'redcurrants'], ['2 cl', 'monin vanilla syrup'], ['3 drop', 'fee brothers cherry bitters'], ['3 cl', 'vodka']]",0.1542857142857143,0,0,0,0,0,0,0
5235,Crying Merchant,23.7,Orange peel,Dissolve honey in watwr and lemon juice. Add other ingredients. Shake and strain.,"[['6 cl', 'Black Tears cacao & coffee spiced rum'], ['1 cl', 'Dark crème de cacao liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Chilled water'], ['2 spoon', 'Orange blossom honey']]","[['6 cl', 'spiced rum'], ['1 cl', 'dark crème de cacao liqueur'], ['1.5 cl', 'lime juice'], ['1 cl', 'chilled water'], ['2 spoon', 'orange blossom honey']]",0.3365217391304348,0,0,0,0,0,0,0
5236,Nathan's Sunray,17.75,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'John E. Fitzgerald Larceny Small Batch Kentucky Straight Bourbon Whiskey'], ['1.5 cl', 'Grand Marnier liqueur'], ['1 cl', 'Lillet Blanc (or other aromatized wine)'], ['1 cl', 'Cocchi Americano Bianco'], ['2.25 cl', 'Orange juice (freshly squeezed)']]","[['3 cl', 'bourbon whiskey'], ['1.5 cl', 'grand marnier'], ['1 cl', 'lillet blanc'], ['1 cl', 'cocchi americano bianco'], ['2.25 cl', 'orange juice']]",0.2228571428571428,0,0,0,0,0,0,0
5237,Fairytale of New York,17.75,Discarded lemon peel for aroma.,"Pour all ingredients (excluding the Ruby Port) into the shaker, and do a dry shake, to aerate the egg white. Do this for as long as you see fit - the longer the shake, the better the foam. Once you're happy with your dry shake, add ice to the tin and shake for approximately 10 seconds. Please note, if you're using a 1:1 sugar syrup, shake for approximately 6 to 8 seconds, as there is already more dilution. Once you've shaken, double strain into your chilled coupe. Once you've strained the drink and the foam on your drink has settled, float the 7.5ml of Ruby Port into your drink.","[['6 cl', 'Teeling Small Batch Irish whiskey'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Ruby port'], ['1 fresh', 'Egg white'], ['3 dash', 'Saline solution 4:1 (20g sea salt to 80g water)']]","[['6 cl', 'teeling small batch irish whiskey'], ['3 cl', 'lemon juice'], ['1.25 cl', 'sugar syrup'], ['0.75 cl', 'ruby port'], ['1 fresh', 'egg white'], ['3 dash', 'saline solution 4:1']]",0.18,0,0,0,0,0,0,0
5238,kae,17.75,Express an orange peel over the drink/glass and then discard it. Garnish with a piece of Smoked White Chocolate.,"Build the drink inside a mixing glass and proceed to stir. Please note: the drink will be served over a piece of hand-cut block ice, so it is important to not overly dilute the drink whilst stirring. After a stir, strain the drink into your chilled coupe glass, over a piece of hand-cut block ice.","[['6 cl', 'Smith & Cross Traditional Pot Still Navy Strength Jamaican Rum'], ['0.5 cl', 'Mr Black coffee liqueur'], ['0.5 cl', 'Tempus Fugit Crème de Banane Liqueur'], ['2 dash', 'Fee Brothers Aztec Chocolate bitters'], ['1 dash', ""Regans' Orange Bitters No.6""], ['1 dash', 'Saline solution 4:1 (20g sea salt to 80g water)']]","[['6 cl', 'smith & cross traditional pot still navy strength jamaican rum'], ['0.5 cl', 'mr black coffee liqueur'], ['0.5 cl', 'tempus fugit crème de banane liqueur'], ['2 dash', 'fee brothers aztec chocolate bitters'], ['1 dash', ""regans' orange bitters no.6""], ['1 dash', 'saline solution 4:1']]",0.4745454545454545,0,0,0,0,0,0,0
5239,Consonance,20.7,Express the peel of a lime over the drink/glass and discard it.,"Build the drink inside a shaker tin and throw the cocktail between the two halves. Once the drink has reached the desired level of aeration and dilution, serve it in a Nic and Nora glass.","[['2.25 cl', 'Zucca Rabarbaro Marca Depositata Specialita Dal 1845'], ['2.25 cl', 'Akvavit / Aquavit'], ['2.25 cl', 'Cocchi Americano Rosa'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Saline solution 4:1 (20g sea salt to 80g water)']]","[['2.25 cl', 'zucca rabarbaro marca depositata specialita dal 1845'], ['2.25 cl', 'aquavit'], ['2.25 cl', 'cocchi americano rosa'], ['0.5 cl', 'sugar syrup'], ['1 dash', 'saline solution 4:1']]",0.1227272727272727,0,0,0,0,0,0,0
5240,Honorable RBG,17.75,Twist of lime.,"Combine ingredients in a mixing glass with ice. Stir for 20-30 seconds, strain into glass.","[['4.5 cl', 'White (charcoal-filtered) 1-3 year old light rum'], ['2.25 cl', 'Bianco vermouth'], ['1.5 cl', ""Galliano L'Autentico liqueur""], ['2 dash', 'Orange Bitters by Angostura'], ['1 twist', 'Lime zest (peel)']]","[['4.5 cl', 'white rum'], ['2.25 cl', 'bianco vermouth'], ['1.5 cl', ""galliano l'autentico liqueur""], ['2 dash', 'angostura'], ['1 twist', 'lime zest']]",0.326,0,0,0,0,0,0,0
5241,The Southsider,23.7,Smacked mint leaf,Pluck the mint leaves from the spring and put in shaker. SHAKE all ingredients with ice and fine strain into chilled glass.,"[['7 fresh', 'Mint leaves'], ['3 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Demerara / dark Muscovado sugar syrup (2 sugar to 1 water)'], ['6 cl', 'Gin']]","[['7 fresh', 'mint leaves'], ['3 cl', 'lime juice'], ['2.25 cl', 'demerara syrup'], ['6 cl', 'gin']]",0.124931506849315,0,0,0,0,0,0,0
5242,T'n'Biscuits,23.6,"Spritz a pink grapefruit peel over the vessel, making sure its essential oils coat the rim of the tea cup and the ice. Once spritzed, discard it. Then, add a slice of black pepper and raspberry shortbread onto the side of the tea coaster, alongside the cocktail.","Pour the ingredients (excluding the Absinthe) into the shaker and shake for 8 seconds. Before straining, do two dashes of absinthe into the tea cup and swirl around the vessel, making sure it is fully coated. Then, discard the absinthe from the tea-cup and add a piece of hand-cut ice. Double strain the cocktail over the piece into the tea cup and present the vessel on a tea coaster.","[['4.5 cl', 'Gin'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Earl Grey sugar syrup'], ['1.5 cl', 'Green (Verte) Chartreuse liqueur'], ['4 dash', 'Saline solution 4:1 (20g sea salt to 80g water)'], ['2 dash', 'La Fée Parisienne absinthe']]","[['4.5 cl', 'gin'], ['3 cl', 'lemon juice'], ['2.25 cl', 'earl grey sugar syrup'], ['1.5 cl', 'green chartreuse liqueur'], ['4 dash', 'saline solution 4:1'], ['2 dash', 'absinthe']]",0.2252173913043478,0,0,0,0,0,0,0
5243,EGGS 'N' BACON SOUR,20.7,"Rash of Bacon placed down side of glass, sprinkle of bacon seasoning","Rim the glass with lemon juice, then dip glass into saucer of bacon seasoning.
In a ice filled shaker, shaker all the other ingredients.
Fill the glass with crushed ice stain the ingredients into glass, garnish and serve","[['5 cl', ""Jack Daniel's Rye""], ['2.5 cl', 'Advocaat liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['3 dash', 'Egg white'], ['1 gram', 'Bacon seasoning']]","[['5 cl', ""jack daniel's rye""], ['2.5 cl', 'advocaat liqueur'], ['3 cl', 'lemon juice'], ['3 dash', 'egg white'], ['1 gram', 'bacon seasoning']]",0.0775862068965517,0,0,0,0,0,0,0
5244,MyZo,17.75,Lemon zest twist,"MUDDLE chili in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1⁄4 inch', 'Red jalapeño/fresno chili (10,000 SHU) deseeded & chopped'], ['5 cl', 'Absolut Vanilia vodka'], ['2.5 cl', 'Elderflower cordial'], ['2.5 cl', 'Lemon juice (freshly squeezed)']]","[['1⁄4 inch', 'red jalapeño/fresno chili  deseeded & chopped'], ['5 cl', 'vodka'], ['2.5 cl', 'elderflower cordial'], ['2.5 cl', 'lemon juice']]",0.2975609756097561,0,0,0,0,0,0,0
5245,Francis's Victorian Lemonade,35.5,Lemon slice,"Lightly MUDDLE mint (just to bruise) in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['12 fresh', 'Mint leaves'], ['4.5 cl', 'Gin'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['7.5 cl', 'Chilled water'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","[['12 fresh', 'mint leaves'], ['4.5 cl', 'gin'], ['2.25 cl', 'sugar syrup'], ['7.5 cl', 'chilled water'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'lemon juice']]",0.0584615384615384,0,0,0,0,0,0,0
5246,Fernespresso,20.7,Freshly-grated 99% unsweetened dark chocolate (baker's chocolate),Shake everything with ice. Double strain into a chilled Nick & Nora glass. Garnish with freshly-grated dark chocolate.,"[['4.5 cl', 'Fernet Branca digestive bitter liqueur'], ['4.5 cl', 'Espresso coffee (freshly made & hot)'], ['0.75 cl', 'Demerara / dark Muscovado sugar syrup (2 sugar to 1 water)'], ['1 dash (4 drops)', 'Bittermens Xocolatl Mole bitters'], ['1 pinch', 'Salt']]","[['4.5 cl', 'fernet branca digestive bitter liqueur'], ['4.5 cl', 'espresso coffee'], ['0.75 cl', 'demerara syrup'], ['1 dash (4 drops)', 'bittermens xocolatl mole bitters'], ['1 pinch', 'salt']]",0.2106382978723404,0,0,0,0,0,0,0
